#Frame             d1           d2           d3
     447      20.2048     132.0305     -70.9159
     448      16.9789     120.7548     -71.6830
     449      12.1282     117.9290     -62.7783
     450      31.2461    -168.8230     -53.4760
     451      38.2687    -146.9713     -47.3684
     452      28.9660    -172.7331     -57.2376
     453      19.7828    -175.9859     -59.4172
     454      37.5191    -154.9431     -52.2380
     455      23.3677    -172.8494     -61.9399
     456      36.3256    -167.5015     -56.2268
     457      29.7766    -162.3608     -49.5235
     458      38.7992    -157.0119     -52.1300
     459      19.1140    -167.4947     -62.7143
     460      20.7727     178.6885     -50.1119
     461      22.1267    -178.1899     -51.8057
     462      26.5591    -173.8562     -55.8411
     463      27.1913    -173.2124     -58.7332
     464      32.0499    -174.5777     -42.9988
     465      31.2610    -178.3759     -45.7748
     466      23.3534    -178.1982     -42.2005
     467      26.3187    -178.2407     -52.6066
     468      33.9513    -175.7133     -54.8955
     469      43.2535    -152.3511     -46.9675
     470      41.3276    -174.1427     -60.1694
     471      33.3755     179.2580     -47.7032
     472      26.5147     178.0098     -44.9259
     473      26.3488    -174.2276     -47.9782
     474      22.8212    -174.6426     -54.3001
     475      39.7881    -159.5073     -60.1064
     476      35.3181    -169.8955     -51.1423
     477      48.8277    -101.0415     -62.9146
     478      52.4024    -102.0922     -68.8153
     479      42.6837    -128.5416     -56.1944
     480      53.3606    -110.7519     -58.9332
     481      46.3112    -106.7036     -60.1478
     482      60.8051     -86.6423     -75.0786
     483      46.6311    -101.6599     -64.9181
     484      60.5894     -89.5895     -73.5184
     485      59.4794     -28.4362     -94.1493
     486      57.5309     -26.3756    -118.1386
     487      58.9094     -17.3220    -101.4846
     488      53.6411     -38.9643    -103.2534
     489      57.7268     -30.7431    -109.7599
     490      62.8087     -30.7695     -99.9424
     491      34.2194      30.9563    -109.7684
     492      49.6028     -18.2686    -107.8122
     493      58.5418     -42.2247    -108.8677
     494      66.1256     -30.3501     -95.4608
     495      57.4248     -36.3466     -85.9784
     496      54.6585     -30.0480     -94.7009
     497      60.3161     -98.6404     -64.5448
     498      51.6386     -97.1727     -71.5831
     499      63.6428    -105.0834     -63.9500
     500      59.6855    -101.8749     -59.9739
     501      55.2200    -115.2232     -61.5466
     502      50.1362     -96.1230     -67.8279
     503      47.3835    -114.3486     -60.5894
     504      50.4594    -108.7077     -70.6880
     505      57.0775     -38.6521    -100.1904
     506      65.0393     -29.7013    -108.7106
     507      56.2498     -21.5164    -100.6963
     508      58.7403     -39.4405     -86.5889
     509      50.2085     -41.1669     -97.0933
     510      46.8671     -51.6191     -87.1159
     511      32.0160      47.7318    -107.0294
     512      26.0976      80.4974     -65.0107
     513      15.7261      89.0577     -80.9545
     514      23.7723      70.9655     -89.6547
     515      17.9475      91.5911     -82.6572
     516      16.4115      57.7112    -107.2834
     517      24.4334      82.1833     -84.6837
     518      15.0976      59.4196     -93.8174
     519      44.9106     -35.8971     -97.3780
     520      49.9166     -43.0820    -103.2357
     521      50.0924     -35.5456     -91.3555
     522      46.8087     -25.4602    -100.7734
     523      51.2661     -46.1362    -104.4116
     524      59.7916     -31.2418     -95.4532
     525      56.7232     -41.0008    -103.4097
     526      64.9972     -46.2629     -91.1967
     527      68.9898     -21.2792     -90.8938
     528      69.4852     -30.9582    -107.2474
     529      61.8990     -31.8401     -97.3912
     530      54.6572     -27.8966    -111.2690
     531      53.7133     -38.0399    -111.6679
     532      57.6414     -38.8024     -88.7579
     533      75.8750     -41.6702     -97.2552
     534      68.9391     -35.7334    -113.7995
     535      70.6745     -43.4908    -106.8878
     536      49.1264     -31.9835     -90.6500
     537      60.7608     -27.4346     -90.8668
     538      54.3888     -36.8306    -107.7850
     539      58.2486     -35.9507    -112.2865
     540      47.5614     -30.0823    -103.9234
     541      39.4865     -36.0338    -101.0491
     542      56.1787     -36.0808    -100.6434
     543      57.9768     -33.0732    -103.2298
     544      55.2502     -39.3229    -100.8989
     545      50.0633     -28.4801    -104.6860
     546      47.0655     -39.9257    -103.9376
     547      54.8745     -37.3646    -107.4123
     548      52.8222     -27.2270    -100.6690
