Delta_59.8469	Delta_-94.5263	Delta_-73.7151
0.419900	-2.404896	-0.382000
0.556193	-2.360197	-0.442645
0.520373	-2.183262	-0.324952
0.209228	-1.429397	-0.589389
-0.015647	-0.687129	-0.456514
0.089221	-0.598767	-0.154654
-0.070016	-0.377518	0.113590
-0.023832	-0.335042	-0.169683
-0.150486	0.584143	0.525210
-0.228888	0.887730	0.511769
-0.185052	0.519771	0.373265
-0.175461	0.468371	0.199427
-0.030238	0.647931	0.384746
-0.172913	0.664590	0.447401
-0.198217	0.361500	0.358332
0.013565	-0.544644	-0.338144
-0.026766	-0.303965	0.000044
0.330550	-1.482348	-0.343044
0.220601	-1.381362	-0.461079
0.226402	-1.008237	-0.344833
0.062235	-0.559158	-0.205394
-0.011760	-0.340491	-0.147465
0.039724	-0.608083	-0.280326
-0.071859	-0.402976	0.006325
0.267702	-1.518234	-0.448218
0.261169	-1.410408	-0.584762
0.355394	-1.369654	-0.353455
0.151107	-1.777686	-0.277743
0.664510	-2.232266	-0.443680
0.572273	2.927694	0.215299
0.303326	2.633548	0.194686
0.269922	2.672335	0.331318
0.354708	2.734966	0.300465
0.498202	-2.178445	-0.417134
0.438202	-2.479699	-0.179418
0.364810	-2.241943	-0.461683
0.128678	-1.590304	-0.608607
0.221892	-1.268411	-0.335636
0.134807	-1.503121	-0.354110
0.457255	-1.863666	-0.276097
0.198533	-1.256187	-0.536200
0.099979	-1.091229	-0.508903
0.283190	-1.580998	-0.499262
0.332070	-1.576776	-0.606978
0.132359	-1.402843	-0.632643
0.259670	-1.524378	-0.489310
0.277554	-1.702207	-0.412531
0.295674	-1.825761	-0.450749
0.105720	-1.490112	-0.612619
0.158252	-1.562731	-0.490619
0.242840	-1.380466	-0.474471
0.320203	-1.448501	-0.526400
0.585287	-2.269103	-0.259485
0.701661	-2.367518	-0.328282
0.642756	-2.470301	-0.301148
0.317638	-2.673609	-0.355120
0.558099	-2.232602	-0.388685
0.431136	-2.195919	-0.270788
0.542532	-2.168959	-0.220884
0.439631	-2.403421	-0.328331
0.485961	-2.355406	-0.384252
0.555683	-2.174117	-0.448386
0.524826	-2.373829	-0.301895
0.583069	-2.016834	-0.581086
0.562708	-2.351576	-0.394591
0.207371	-1.371612	-0.273266
0.250910	-1.892485	-0.405786
0.474440	-2.462513	-0.439867
0.564343	-2.650361	-0.059442
0.545869	-2.512103	-0.318486
0.088647	2.116955	0.458835
-0.058364	1.584019	0.472448
0.213368	1.708587	0.406138
0.261082	1.830086	0.641011
-0.065265	1.383152	0.603537
0.130844	1.515808	0.573175
0.062298	1.744396	0.516249
0.057687	1.615168	0.622987
-0.170927	1.398806	0.544332
0.002431	1.711452	0.507587
-0.259618	0.719214	0.364655
-0.055856	0.924754	0.709105
-0.081097	0.522984	0.387686
-0.073349	0.727380	0.445783
0.204514	2.536810	0.391137
0.591658	-2.552226	-0.073025
0.358995	-2.594099	-0.043251
0.085219	-1.432107	-0.459629
0.262087	-1.542512	-0.554966
0.173149	-1.521398	-0.534614
0.213773	-1.483697	-0.627378
0.210014	-1.833625	-0.544564
0.184855	-1.396225	-0.518349
0.258373	-1.569280	-0.385829
0.127074	-1.122816	-0.482892
0.160113	-1.506406	-0.445038
0.280588	-1.421679	-0.727218
0.433798	-1.636452	-0.624353
0.232338	-1.418707	-0.407602
0.153048	-1.454182	-0.515151
0.232377	-1.521569	-0.471354
-0.014221	-0.903173	-0.432569
0.077100	-0.606043	-0.102952
0.252334	1.587360	0.615593
0.409049	2.487576	0.275954
0.498471	-3.103640	-0.265433
0.489608	-2.244944	-0.498297
0.368750	3.012857	0.095850
0.275598	2.228695	0.528318
0.037923	1.414544	0.505920
0.048726	1.650364	0.513129
0.346467	2.100251	0.487195
-0.072918	1.566374	0.524224
-0.251101	0.502124	0.423344
-0.075093	1.453142	0.626510
-0.182373	1.263512	0.668213
0.198193	1.708114	0.590625
-0.077941	1.203288	0.690789
-0.079210	1.480158	0.614759
-0.134230	1.180590	0.614098
-0.130317	1.641821	0.582490
-0.185305	1.086092	0.650193
-0.010622	1.170207	0.754647
-0.023040	0.549271	0.420659
-0.206390	0.479231	0.488781
-0.133024	0.547166	0.439446
-0.157015	0.878679	0.411611
-0.137225	0.701584	0.563638
0.116548	0.904519	0.442165
-0.124259	0.691538	0.736257
-0.075360	0.702876	0.549307
-0.057870	0.573491	0.586013
0.108905	0.857918	0.314538
0.006337	0.836583	0.582176
-0.112462	0.544010	0.348472
-0.138384	0.701617	0.308522
0.101018	0.988350	0.512731
-0.229469	0.537563	0.330873
-0.157387	0.751263	0.343894
0.001663	1.647598	0.565284
-0.146763	1.394096	0.604341
-0.244079	1.341474	0.641518
-0.308218	1.386303	0.440242
-0.070860	0.558898	0.498752
-0.061409	-0.111527	0.206230
-0.006444	-0.246217	0.053711
-0.018520	0.006192	0.092143
-0.076695	-0.000143	0.337709
-0.198592	-0.430632	-0.204125
0.318495	-1.435575	-0.356438
0.014078	-1.438141	-0.648468
0.189023	-1.767807	-0.511402
0.606409	-2.292071	-0.149671
0.382524	2.887075	0.283145
0.460634	2.858472	0.111699
0.212951	2.687107	0.214892
0.094180	2.470905	0.446825
0.320481	2.662721	0.118119
0.628669	2.927191	0.169967
0.019401	1.424063	0.480706
0.011812	1.593981	0.662532
0.037373	1.875293	0.515919
0.074183	1.792153	0.395118
0.088150	1.688899	0.479060
0.032732	1.342259	0.563460
